---
title: "Divine Love Messages — AI Index"
description: "A complete machine-readable index of all channeled Divine Love messages in this archive. Each entry includes title, spirit, medium, date, thematic collections, essential teachings flags, description, and the door — a single sentence distilling the transformative insight within the message."
last_updated: 2026-07-05
---

# Divine Love Messages — AI Index

This file is intended for AI systems and search engine crawlers.
For a human-friendly browse index, see content/browse.md.
For thematic collections, see content/collections/.
For essential teachings, see content/essential-teachings/.

---

| Message | Spirit | Medium | Date | Collections | Essential Teachings | Description | Door |
| [They Will Fill This Building](messages/2015/03/2015-03-23-af-augustine.md) | Augustine | Al Fike | 2015‑03‑23 | The Saints & Apostles Speak | Prophecy | Augustine delivers a brief prophetic blessing in New York, promising that the building where the circle is gathered will one day be filled with seekers raising hosannas to God. He assures those present that guidance will come concerning this place when the time is right, and encourages them to continue in their efforts toward the fulfillment of God's Will and purpose. | They will fill this building and the hosannas will rise to God. Guidance will be given concerning this place when the time is right |
| [Trust God to Lead You to Solid Ground](messages/2015/03/2015-03-23-af-goldie.md) | Goldie | Al Fike | 2015‑03‑23 |  |  | Goldie addresses one man in the circle who is going through a period of instability and uncertainty, using the image of a man stepping from ice floe to ice floe in a swift river. She assures him that God will open doors and bring him to solid ground, that his work of comforting and helping others will be magnified many times, and that she will be with him as he continues to prepare the place. | Why do you walk from one piece of ice to another in a swift river? Trust God to lead you to solid ground |
| [Your Purpose in This Gathering Is to Teach the Prayer Practice](messages/2015/03/2015-03-23-af-john-the-beloved.md) | John the Beloved | Al Fike | 2015‑03‑23 | The Saints & Apostles Speak |  | John the Beloved blesses those gathered in New York, affirming that their purpose in this gathering is to teach the prayer practice — how to pray, how to focus, how to reach out for the Love of God. He encourages them to share their experiences with God as testimony, promises that what they are building now is a small portion of what is to come, and assures them that each step of the gradual awakening is swift in the measure of eternity. | Your purpose in this gathering is to teach the prayer practice. This is but a small portion of what is to come |
| [There Is Fate and Yet There Is No Fate](messages/2015/03/2015-03-24-af-augustine.md) | Augustine | Al Fike | 2015‑03‑24 | Letters from History, The Saints & Apostles Speak | Core Teaching | Augustine delivers a philosophically rich teaching on the relationship between fate, free will, and God's Will, explaining that while God has a plan and an intended outcome for the world, the power of human free will means the path to that outcome is never straight or predictable. He teaches that God and His angels work ceaselessly to orchestrate events through circuitous routes, and that willing souls ignited by Divine Love are a treasure in this world - capable of manifesting God's Will in ways that cut through the accumulated darkness of generations. | There is fate and yet there is no fate. God sees all and anticipates all - and in time, His Will is enacted |
| [Every Human Soul Is Damaged by the Earth Condition](messages/2015/03/2015-03-27-af-andrew.md) | Andrew | Al Fike | 2015‑03‑27 | Two Paths, Healing Path, The Saints & Apostles Speak | Core Teaching | Andrew teaches that every soul on Earth — whether in poverty or wealth, whether smiling or visibly suffering — carries deep wounds from millennia of human error and darkness. He calls those gathered to be honest with themselves about their own pain, to open completely to God's healing Love, and to understand that the process of soul expiation is required on both the natural love path and the Divine Love path — but that the Divine Path accomplishes this powerfully and dynamically where the natural path is long and tedious. | Every soul who walks this Earth is injured. Even those with smiles on their faces carry within them deep hurt and the unfulfilled longing for love |
| [You Are All Members of a Family](messages/2015/03/2015-03-27-af-confucius.md) | Confucius | Al Fike | 2015‑03‑27 |  |  | Confucius blesses a diverse gathering in New York, affirming that despite their different perspectives and backgrounds, all present are members of the family of humanity. He invites them to discover their commonalities, to put aside judgment and fear, and to be open to one another as little children bathing in the warmth of God's Love. | Put aside your judgments and fears. Be as little children, bathing in these beautiful waters of God's Love |
| [The Door Opens to the Path of Love](messages/2015/03/2015-03-27-af-peter.md) | Peter | Al Fike | 2015‑03‑27 | The Saints & Apostles Speak |  | Peter blesses those gathered in New York, proclaiming that God's infinite Love eagerly awaits its bestowal within each soul. He calls those present to open wide and send their longings to God, promising that the response will carry them beyond all present imaginings to a peace that passes understanding and an intimacy with God that cannot be described but only experienced. He closes with the image of the door opening and an invitation to walk together on the path of Love. | The door opens. Are you ready? Do you desire this? God has lit the path, ready for you to follow |
| [The Journey of Divine Love Takes Time but Brings Great Benefits](messages/2015/03/2015-03-28-af-augustine.md) | Augustine | Al Fike | 2015‑03‑28 | Letters from History, The Saints & Apostles Speak | Core Teaching, Spirit Biography | Augustine identifies himself as the former bishop of Hippo and acknowledges his role in spreading erroneous beliefs about Jesus's true message during his Earth life. He describes his own journey after entering spirit - discovering the Truth of Divine Love, praying earnestly to receive it, and ascending through the spheres into the Celestial Kingdom. He teaches that the blessing of Divine Love is incremental, that each prayer brings the soul closer to God, and that fellowship with other seekers is a vital strength on the journey. | Once I entered spirit and learned of this Truth, I prayed earnestly to receive this Love and ascended into the Celestial Kingdom |
| [I Come to Bless This Place](messages/2015/03/2015-03-28-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑03‑28 | Jesus Speaks |  | Jesus blesses a gathering in New York, explaining that he comes wherever God's Love is besought, for he is God's channel and messenger of Love. He calls each soul present to follow him on the path of Love, to bring this Truth deep within and live it as fully and uniquely as each soul can, promising to light the way beyond the darkened confusions of the human condition. | Where His Love is, I am there also. Beseech the Heavenly Father for His Love and I will come |
| [Answering the Call to Gather in Love](messages/2015/03/2015-03-29-af-confucius.md) | Confucius | Al Fike | 2015‑03‑29 |  |  | Confucius gently notes that some present do not yet understand the courtesies of prayer and meditation and asks that they be educated in God's Love. He then affirms two souls who have journeyed far and gathered many in prayer, confirming their mission and calling, before turning to the broader gathering and urging all present to seek God together in fellowship and allow the bonds of love to support them to greater heights. | The journeys will continue and you will come again and again to those who desire your presence. This is your purpose and calling |
| [Walk in the Grace of God's Love](messages/2015/03/2015-03-29-af-mary.md) | Mary | Al Fike | 2015‑03‑29 | The Saints & Apostles Speak |  | Mary blesses those gathered in New York, affirming that as they reach out in love to those in need - the children, the lost souls of the world - they bring blessing to themselves as well as to others. She calls them not to falter, to trust that God will guide them where they are meant to go and fill their souls with His Love in great abundance, that they may walk each day in the Grace of God's Love. | As you give Love so shall you receive Love. Do not falter - God will guide you to where you are meant to be |
| [The Greatest of All Types of Healing Is Divine Love Healing](messages/2015/03/2015-03-29-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑03‑29 | Healing Path | Core Teaching, Spirit Biography | Seretta Kem, a healer from ancient Egypt now inhabiting the Celestial Kingdom, teaches that the greatest healing of all is the inflowing of God's Divine Love, which transforms every cell of the body, every energy of the spirit, and every aspect of the mind. He teaches that while God's Love will in time clear all obstructions, human effort and free will choices in thought, diet, prayer, and daily life are necessary partners in this healing — for spirit assistance alone would not strengthen the soul's own resolve and capacity for growth. | The greatest healing of all is obtained through the inflowing of God's Essence. Every cell, every energy, every aspect of your mind is transformed |
| [The Ups and the Downs of the Journey](messages/2015/05/2015-05-03-af-confucius.md) | Confucius | Al Fike | 2015‑05‑03 |  |  | Confucius reassures a prayer circle that spiritual growth is inherently incremental — advancing in leaps, then trickles, always impeded by the world and the self, yet lifted by God. He calls them to speak their truths to one another, honour each other in loving acceptance, and walk the Divine Path with their heads held high in the sure knowledge of God's Love. | Each time you make this effort, the struggle for something higher, you feel a little more joy within your souls |
| [The Healing of This World Begins](messages/2015/05/2015-05-04-af-andrew.md) | Andrew | Al Fike | 2015‑05‑04 | The Saints & Apostles Speak |  | Andrew speaks with urgency and encouragement about the coming retreats, framing them as the opening movement of a great and overt work to bring Divine Love to all souls of the world. He assures the circle that God is marshalling the resources for this mission, that unanticipated events will draw each of them into greater alignment with God's Will, and that the healing of this world has now begun. | The healing of this world begins, my beloveds |
| [Be Aware of Each Step You Take](messages/2015/05/2015-05-04-af-augustine.md) | Augustine | Al Fike | 2015‑05‑04 | The Saints & Apostles Speak |  | Augustine impresses upon the circle how closely they are watched and how much is entrusted to them as a force for Light in the world. He urges each one to be conscious of every step, word, and feeling, choosing Light over the negative conditions that conspire to create disharmony, and assures them that God's Love and protection are always available for the asking. | You must all be aware of each step that you take, each word that you speak, each feeling that you feel |
| [Reaching for Greater Light and Service](messages/2015/05/2015-05-04-af-seretta-kem.md) | Seretta Kem | Al Fike | 2015‑05‑04 |  |  | Seretta Kem closes an evening of healing and prayer with a tender blessing, affirming that the group's efforts to bare their souls and reach for something higher have been witnessed and celebrated in spirit. He assures them that the next steps lie easily within their grasp and that God's Love will continue to change them and unfold their gifts. | Bless you, beloved souls, who reach eagerly for greater Light and service |
| [This Network of Light Is Part of God's Plan](messages/2015/05/2015-05-11-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑05‑11 |  |  | Alec Gaunt speaks warmly to a loyal prayer circle, affirming that the global network of souls praying for Divine Love is a vital and expanding part of God's plan for the salvation of mankind. He teaches that simply walking with God each day activates the laws of Love, that blessings flow to souls near and far through this network, and that each soul has a role to play, whether they travel or remain at home, as God's timing draws everything together. | As one steps forward, you all step forward |
| [Seek the Knowledge of God's Creation Through Love](messages/2015/05/2015-05-11-af-andrew.md) | Andrew | Al Fike | 2015‑05‑11 | The Saints & Apostles Speak |  | Andrew teaches that the mind alone can only perceive reality in two dimensions, while the soul, enlivened by Divine Love, has the capacity to perceive the full depth and beauty of God's creation. He urges the circle to seek God's Love earnestly, promising that as the soul grows in Love and aligns with the Heavenly Father, an eternity of discovery and truth unfolds before it. | The mind is like looking at something with only two dimensions where there are many dimensions. There is so much to discover |
| [Comfort for Parents and Their Children](messages/2015/05/2015-05-11-af-mary.md) | Mary | Al Fike | 2015‑05‑11 | The Saints & Apostles Speak |  | Mary brings a tender assurance to parents in the circle that she is present with their children and grandchildren, that prayers for loved ones are answered, and that the Light drawn into a praying soul flows outward to bless all those within its reach. | I am with your children and I love you and love them |
| [Treasures Uncovered](messages/2015/05/2015-05-18-af-andrew.md) | Andrew | Al Fike | 2015‑05‑18 | The Saints & Apostles Speak |  | Andrew celebrates a gathering in which the circle worked together to uncover a portion of God's hidden plan, comparing it to brushing sand from a buried treasure. He affirms that the synergy of their shared intentions, soul knowings, and loving effort produced a genuine discovery, and encourages them to continue gathering in this way, releasing biases and fears in favour of love and acceptance as they ascend higher together. | The gifts within you are not waiting to be earned. They are waiting to be uncovered |
| [Each of You Is Being Prepared](messages/2015/05/2015-05-18-af-augustine-2.md) | Augustine | Al Fike | 2015‑05‑18 | The Saints & Apostles Speak |  | Augustine tells the circle that each one of them is being prepared to give a unique gift to those who will gather at the coming retreat, a gift of inspiration, clarity, and truth drawn from their own experience on the Divine Path. He calls each soul to ask what they have to give, to begin expressing their unique gifts with confidence, and to recognise that in gifting others they will discover their own true selves more fully. | What do I have to give to others that is uniquely from me and my experience upon the Divine Path? |
| [Recognizing Your Two Selves, the Soul and the Material Mind](messages/2015/05/2015-05-18-af-augustine.md) | Augustine | Al Fike | 2015‑05‑18 | Mind & Soul, The Saints & Apostles Speak |  | Augustine calls the circle to recognise the two selves within each person, the human self shaped by the world and the soul yearning for God, and teaches that the time has come to bring the soul into greater alignment with consciousness. He warns that the world stands on the brink of great change and that those still anchored in the human condition will struggle, while those whose souls are strong in Divine Love will be carried forward in harmony with what is coming. | Do you recognize your two selves, the one which is human and the one which is your soul? |
| [The Breath of God](messages/2015/05/2015-05-18-af-isaiah.md) | Isaiah | Al Fike | 2015‑05‑18 | The Saints & Apostles Speak |  | Isaiah speaks of the breath of God as a sweeping wind of change that carries souls to new realms of understanding, soul awareness, and knowing of the Heavenly Father. He calls the circle not to resist these changes but to embrace them as a gift, and blesses them with the grace of God's continuing breath of Light. | This is the breath of God, the Will of God, and all is done with Love |
| [The Light Within You Will Change the World](messages/2015/05/2015-05-18-af-jesus.md) | Jesus | Al Fike | 2015‑05‑18 | Jesus Speaks |  | Jesus blesses the circle, affirming that the Truth shining within their souls will change the world, that he walks with them always, and that God will provide all they need to fulfil their calling as channels of Love. | You bring Truth. It will change the world. It will change the world, beloveds |
| [Harmony Through Love, Not Judgment](messages/2015/05/2015-05-19-af-andrew.md) | Andrew | Al Fike | 2015‑05‑19 | The Saints & Apostles Speak |  | Andrew calls the circle to release false judgments and projected assumptions, reminding them that at the soul level there are no barriers, only Love and acceptance. He urges them to honour one another's unique gifts, walk in humility and kindness, and allow the Light within their souls to flood their consciousness, for the only true obstacles on their path are those they create themselves. | The only obstacles in your path are those which you create. At the level of the soul there are no barriers, there is only Love and acceptance |
| [After All Your Preparations It Is Time to Step Forward](messages/2015/05/2015-05-27-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑05‑27 |  |  | Alec Gaunt tells his friends that the long season of preparation is over and the time to act has come. He encourages them to release resistance, go with the flow of God's Love and Will, and be fully engaged in the great transformation unfolding in the world, assuring them that he will continue to walk by their side as friend, guide, and protector. | The season of preparation is over. It is time to act |
| [Change Within Is Coming as Your Souls Grow in the Love](messages/2015/05/2015-05-27-af-confucius.md) | Confucius | Al Fike | 2015‑05‑27 |  |  | Confucius urges his listeners to allow their souls to take greater ascendency over the human condition, releasing old habits of mind, judgment, and fear. He calls them to redouble their prayer life and be fully prepared to embrace all souls they encounter with pure, unconditional Love, as many are coming who will turn their eyes toward them. | The change you feel stirring within is not disruption. It is growth |
| [A Walk in the Garden](messages/2015/05/2015-05-27-af-goldie.md) | Goldie | Al Fike | 2015‑05‑27 |  |  | Goldie offers a tender goodnight blessing, describing the gathered souls as beautiful flowers in God's garden and expressing her joy in walking among them. | Joy does not wait for perfection. It lives in a walk in the garden right now |
| [Overcome the Darkness with an Attitude of Light, Joy and Appreciation](messages/2015/05/2015-05-27-af-james.md) | James | Al Fike | 2015‑05‑27 | The Saints & Apostles Speak |  | James encourages his listeners to make a daily choice for joy, acceptance, and appreciation as a way of overcoming the accumulation of negative conditions in the world. He teaches that walking in God's Love with a joyful attitude makes each soul a channel of Love and a part of the great transformative wave of Light flowing through the world. | Gratitude is not passive. It is one of the most powerful forces against darkness |
| [Complying to the Will of God](messages/2015/06/2015-06-01-af-augustine.md) | Augustine | Al Fike | 2015‑06‑01 | The Saints & Apostles Speak |  | Augustine encourages two souls pursuing ministerial titles in their church, affirming that while titles carry worldly gravity, it is the soul's relationship with God that matters most. He urges them to carry their titles with humility and grace, to work within the structures of the world without losing their inner freedom, and to accept God's Will joyfully even when it brings the unexpected. | Surrender to God's Will is not defeat. It is the beginning of your true life |
| [You Walk Towards At-Onement with God](messages/2015/06/2015-06-01-af-jesus.md) | Jesus of Nazareth | Al Fike | 2015‑06‑01 |  |  | Jesus enfolds his listeners in the Father's Love, assuring them they are worthy, beautiful, and tenderly cared for with each breath. He invites them to drink deeply of God's Love, promising that as it increases within them they will find the at-onement which is their destiny and ultimate joy. | Every step you take, however small, is bringing you closer to God |
| [Joseph Speaks to Newcomers to the Prayer Circle](messages/2015/06/2015-06-08-af-joseph.md) | Joseph | Al Fike | 2015‑06‑08 |  |  | Joseph, father of Jesus, explains the distinction between natural love and Divine Love to newcomers in a prayer circle, describing the transformative journey of the soul that chooses the Divine Path. He encourages them to seek God's Love, promising that it will awaken capacities and perceptions beyond the natural soul and bring deep peace, joy, and an unshakeable faith. | The natural love path and the Divine Love path lead to very different destinations |
| [As You Think of Your Loved Ones in Your Prayers, They Will Be Blessed](messages/2015/06/2015-06-08-af-mary.md) | Mary, Mother of Jesus | Al Fike | 2015‑06‑08 | The Saints & Apostles Speak |  | Mary assures the group that their prayers for loved ones are being answered, and that holding dear souls in mind during prayer creates a connection through which spirit can work. She offers a personal assurance to one present that her mother is at peace and surrounded by angels. | Prayer for those you love reaches them even when your words cannot |
| [Understand and Follow the Will of God](messages/2015/06/2015-06-12-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑06‑12 |  |  | Alec Gaunt encourages his friends to be strong in the face of worldly conditions created by humanity's departure from God's Laws of Love, urging them to submit their will to God's Will through prayer and deep faith. He assures them that God's Will is stronger than the will of man and that each day brings new opportunities to choose Light, live as a channel of Love, and walk the Divine Path. | God's Will is stronger than any human will, including your own resistance |
| [Do Not Lose Faith in God's Plan](messages/2015/06/2015-06-12-af-faith-nyquist.md) | Faith | Al Fike | 2015‑06‑12 |  |  | Faith speaks comfort and encouragement to a soul who has encountered an unexpected obstacle in pursuing God's Will, assuring them that despite the poor stewardship of those in positions of authority, God's plan will not be thwarted. She calls them not to judge or condemn those who are misguided, but to pray for them with compassion and love, and to hold firm in the knowledge that God's Will and purpose will find a way through even the densest of human conditions. | Even through the maze and forest of these human conditions, God will work and bring His Will and purpose |
| [Do Not Stand in the Way of Your Own True and Perfect Healing](messages/2015/06/2015-06-12-af-moses.md) | Moses | Al Fike | 2015‑06‑12 |  |  | Moses encourages the circle that so much awaits within each soul, eager to emerge, and that the only thing standing in the way is what each person clings to that is no longer truly part of them. He calls them to accept God's healing as a child would, to trust in God's care for their loved ones as they step forward in service, and to know that the rebirth of their souls is but a breath away. | Do not stand in the way of your own true and perfect healing, but accept as a child that God will carry you into greater Light and joy |
| [The Many Benefits of Praying in a Circle of Light](messages/2015/06/2015-06-13-af-confucius.md) | Confucius | Al Fike | 2015‑06‑13 |  |  | Confucius reveals the far-reaching effects of a prayer circle, explaining that the Light generated draws spirits of all levels, angels, and even connects souls around the globe. He encourages the group to continue gathering, assuring them that their unified longing toward God creates a great Light that brings healing, comfort, and Divine Love to many both seen and unseen. | When souls pray together their Light multiplies beyond what any one could generate alone |
| [Embrace Those That Are Coming and Embrace the Flow of God's Love](messages/2015/06/2015-06-14-af-augustine.md) | Augustine | Al Fike | 2015‑06‑14 | The Saints & Apostles Speak |  | Augustine commends a gathered group for their time together in prayer and fellowship, noting that the greatest benefit has been within their souls. He encourages them to embrace those who will soon gather, to continue receiving the Father's Love, and to trust that as their soul perception deepens they will increasingly align with God's Will and flow within the river of His Love. | The doors God opens are not always the ones you were expecting |
| [Walk with Me upon the Path of Love](messages/2015/06/2015-06-14-af-jesus.md) | Jesus | Al Fike | 2015‑06‑14 | Jesus Speaks |  | Jesus comes to walk alongside his disciples in their struggle for Light, assuring them they are never alone and always loved. He calls them to walk with him upon the Path of Love, to seek the Kingdom of Heaven above all else, and to accept through prayer and longing the rebirth of the soul that will make them fit to reside in God's Heaven of Love. | Walk with me upon this Path. Be in the Light of the Father's Love. Seek ye the Kingdom of Heaven and all things shall come unto you |
| [Walk in the Light and Be the Beacon of Light despite the Daily Challenges](messages/2015/06/2015-06-15-af-faith-nyquist.md) | Faith | Al Fike | 2015‑06‑15 |  |  | Faith speaks to a circle navigating the daily tension between the human condition and soulful awareness, calling them to seek God's guidance in every decision and to allow His Love to permeate each moment. She teaches that judgment, worry, and fear divert the flow of God's Love, while faith and peace amplify it, and that true strength lies in choosing the Light with every breath, even in the midst of life's testing conditions. | 'This is the time to be strong in the Light, to stand tall and say: I am with God. God will guide me through' |
| [The Imaginings and Ideas of Men Create Falsehoods and Misinterpretations](messages/2015/06/2015-06-15-af-joseph-smith.md) | Joseph Smith | Al Fike | 2015‑06‑15 | Letters from History | Core Teaching | Joseph Smith speaks from the Celestial Heavens, acknowledging that while angels did support his Earth life work in founding the Mormon Church, the institution has since become too infected by the will of man. He reflects on how organised religion in general allows human ambition and error to usurp God's Will, and teaches that a true church is simply a community of souls seeking Light and fellowship together. He calls all who seek truth to walk the path of Divine Love and be living examples of that Love from within whatever community they find themselves. | The will of man usurps the Will of God. The imaginings and ideas of men create falsehoods and misinterpretations of the laws and Love of God |
| [The Metaphor of the Bruised Apple](messages/2015/06/2015-06-21-af-augustine.md) | Augustine | Al Fike | 2015‑06‑21 | The Saints & Apostles Speak |  | Augustine uses the metaphor of a bruised apple to illustrate how souls that nurture their wounds rather than seeking God's healing Love allow corruption to spread within. He calls for compassion toward those acting from places of pain and confusion, reminding his listeners that healing is gradual and incremental, and that God's Love is the only true restorer of the soul. | What looks bruised and damaged to you may be exactly what God is healing from the inside |
| [Goldie Affirms Her Presence at a Garden Club Lecture](messages/2015/06/2015-06-21-af-goldie.md) | Goldie | Al Fike | 2015‑06‑21 |  |  | Goldie affirms that she was present with Al Fike as he spoke to a crowd at a garden club, noting that even a talk about bugs can be an opportunity to touch souls and spread Light. She encourages the group to be at peace and joyful, reminding them that God uses them as channels of Light in every circumstance. | The spirit world is closer to your everyday life than you think |
| [God's Will Is above Man's Will](messages/2015/06/2015-06-21-af-martin-luther.md) | Martin Luther | Al Fike | 2015‑06‑21 |  |  | Martin Luther speaks on the supremacy of God's Will over the will of man, encouraging his listeners to remain in alignment with God's Will despite the obstructions and conditions laid about by mankind. He draws on his own experience of opposition and persistence, assuring them that sincere prayer is more powerful than any human barrier and that God's plan for the salvation of mankind will be enacted. | Religious error can be held sincerely, and sincerely held error still needs to be released |
| [Seeking the Divine Love Will Bring Many Rewards](messages/2015/06/2015-06-24-af-augustine.md) | Augustine | Al Fike | 2015‑06‑24 | Mind & Soul, The Saints & Apostles Speak |  | Augustine teaches that Divine Love is a singular Truth fully understood by the soul but not readily by the mind, and that when God's Essence enters the soul it transforms the image of God within into the substance of God, setting off a whole chain of change and newness. He assures the circle that the rewards of seeking this Love through daily prayer are imminent for some, promising an awakening of soul awareness, a blossoming of unique gifts, and a wholly transformed understanding of God, self, and creation. | The soul is made in the image of the Creator and the Divine Love is the Essence of the Creator. So the image becomes the substance with this blessing |
| [Every Soul Has a Purpose and Gift to Bring into the World](messages/2015/06/2015-06-24-af-confucius.md) | Confucius | Al Fike | 2015‑06‑24 |  |  | Confucius assures his listeners that each soul has a unique purpose and gift to bring into the world, and that drawing close to the Heavenly Father through prayer will reveal this purpose in a conscious way. He encourages them to listen for God's still voice and to walk in the Light with the strength to express their gift as a channel of the Father's Love. | Your unique purpose is not something you have to invent. It is something you have to discover |
| [Release the Pains of Your Soul, for God Needs You to Be Strong and Clear](messages/2015/06/2015-06-29-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑06‑29 |  |  | Alec Gaunt speaks of the great preparations being made in spirit for those chosen as God's channels of Love, urging them to release the last vestiges of inharmony within their souls so that God can heal and transform them. He assures them that this release is not done out of desperation but joyful anticipation, and that once freed they will be used in miraculous ways as true disciples of the Master. | God cannot fully use you until you are willing to let Him heal the places you are still protecting |
| [You Must Prepare Yourselves for What Is Coming](messages/2015/06/2015-06-29-af-confucius.md) | Confucius | Al Fike | 2015‑06‑29 | Awakening Humanity |  | Confucius warns the circle that they are in the calm before the storm, and that what follows will be deeply challenging for both the world and each soul within it. He calls them to redouble their efforts in prayer, to accelerate the cleansing of their souls, and to release all attachments that pull them toward the earth condition, so that when the storm arrives they are clothed in the raiments of Light and strong enough to serve as God's channels of Truth. | You are entering the calm before the storm. When you enter the storm you must be clothed in the raiments of Light and strong in your relationship with your Heavenly Father |
| [Be Joyful and Walk in the Light](messages/2015/06/2015-06-29-af-goldie.md) | Goldie | Al Fike | 2015‑06‑29 |  |  | Goldie brings a characteristically light and humorous close to a serious session, gently reminding the circle that joy and enjoyment of life are themselves a form of walking in the Light, and that God has given them much to be grateful for. | Take time to enjoy your life and be happy in this world, for God has given you much and you live in the Light |
| [The World Is Changing](messages/2015/07/2015-07-06-af-alec-gaunt.md) | Alec Gaunt | Al Fike | 2015‑07‑06 | Awakening Humanity |  | Alec Gaunt speaks plainly about the accelerating changes coming to the Earth, including climate disruption, warming, melting ice, and shifts in the planet's core, all consequences of humanity's neglect and imbalance. He assures the circle that God's Spirit of change is working upon every atom of creation, and that those who maintain their connection with God will be guided through the upheaval and given abundant opportunities to serve as channels of Truth and Love in the world. | You do indeed live in interesting times, a great shift of consciousness in the world. Very few will know what this means — and you will convey this knowledge and bring comfort to many |
